full_text,label
@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,0
Kerja sama ini juga mendukung program Merdeka Belajar Kampus Merdeka (MBKM) membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah!,1
@freaktey Wkwk PTK naro logo Kampus Merdeka di IG-nya tapi mahasiswanya ga merdeka,0
@CNNIndonesia Halah kampus merdeka apanya,0
@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,0
@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,1
kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,0
@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,1
@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,0
Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,1
Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,0
@SoundOfYogi Yg bagusnya cuma kampus merdeka utk mahasiswa. ,1
@SoundOfYogi Namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka DSB,1
@SoundOfYogi beberapa program kampus merdeka beliau worthit bgt,1
@SoundOfYogi tapi buat pendidikan tinggi kurikulum merdeka tu bagus bgt apalagi program-programnya jadi ada kesempatan buat berkembang diluar kampus,1
@SoundOfYogi Kayanya kebijakan beliau bagusnya yg di kuliah deh. Kaya kampus merdeka dll. Dulu sblm ada itu susah bgt cari magang masukin proposal sana sini tp skrg udah terintegrasi sm sistem di kuliah.,1
Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),1
Penasaran walau udah bukan mahasiswa. Soalnya gak kebagian icip si kampus merdeka ini,1
One of yg gw gasuka di program kampus merdeka yaitu program wirausaha merdeka yg kek,0
@BaymaxYourbae @BetaEpsilonPhi Kampus merdeka untung sama untung. Mahasiswanya ya oke2 dan seneng aja. Di tengah pandemi muncul tuh program jd mayanlah kedapetan enak ,1
Buat mahasiswa yang bela nadiem karena katanya oh itu program kampus merdeka bagus (termasuk temen gw yang kaya asu) MAKAN NI ANJINGGG LU LIAT KACAUNYA BANGSATTTT BANGSAT,0
@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,0
aku gak mau ah ngejelekin menteri pendidikan kemarin. soalnya aku dpt benefit dari kampus mengajar magang merdeka dan ppg prajabatan dibiayain negara️,1
@sapharvv @alienordic @anggadwia_ Lumayan tinggi sampe nyisir anggaran juga. Basically stafsusnya Nadiem. Harusnya tim tech ini cukup jadi enabler aja. Oke untuk bikin platform Kampus Merdeka. Tapi ini sampe rombak struktur internal. Dan yg makin speechless itu output mereka cuma platform.,0
Ibu gua suka cerita Kampus Merdeka seringkali jadi ajang pemutihan nilai mahasiswa,0
gw lah hater kurikulum kampus merdeka tsb,0
Yg perlu dipertahankan: kampus merdeka (iisma bolehlah tapi kuota ditekan) sempurnakan juga progran iisma dalam negeri sangat bermanfaat buat kawan kawan dari kampus second-third tier/daerah nun jauh disana utk merasakan atmosfer kampus top 10 indo. dan tentunya MSIB,1
Jujur ni org banyak terobosannya terutama kampus merdeka yg versi l kuliah y Tapi kurang ajarnya kapitalis dan ketidakselarasan antara kementrian yg satu dengan yg lainnya menyebabkan perusahaan bs seenak udel nyari pegawai upah murah beban kerja selangit alias ANAK MAGANG,0
Program kampus merdeka tu bagus banget sebenernya buat mahasiswa: 1. Orang yang di kampus ruko bisa ikut PMM jadi ngerasain kuliah di kampus beneran 2. Program magang merdeka ngasah skill yang gak diajarin di dalem kelas,1
klo untuk program dikti nya so far ok ok aja sihh gw sangat mengapresiasi kampus merdeka,1
@Chimmy1990 @ardisatriawan Nadiem oke di kampus merdeka. ,1
pak nadiem ga duluu kl ngeliat yg udah-udah pendidikan indonesia acak adul. Untuk kuliah bagus make sistem merdeka (karena nge bantu buat magang pertukaran mahasiswa yg dibantu kampus).,1
I agree on kampus merdeka cz uni students udah bisa decide what how or where they wanna learn freely. ,1
kampus merdeka yang gak merdeka2 amat,0
@BetaEpsilonPhi Shadow organization (govtech edu) menurut saya keren banget - isinya talent IT bagus (coba cek LinkedIn pegawainya) - hasil aplikasi nya juga oke seperti: &gt; merdeka belajar (cek ratingnya di playstore) &gt; web kampus merdeka (ini juga bagus),1
Kampus merdeka ? Gak tau lah adek gue diphp program magang yg gak jelas itu dan hampir gak bisa ambil semester baru. So nggak bgt lah kayanya,0
Beberapa program kampus merdeka emang bagus. Aku anak MSIB dulu. Tapi sayangnya program itu membuat banyak perusahaan ga mau rekrut karyawan tetap dan cuma ngandelin anak magang. Contohnya tempat sy magang dulu,0
@OtenKristen @stockmapping Di era nadiem juga ada yg bagus kok kampus merdeka merdeka belajarr,1
@kedelaihitam26 @KemensetnegRI mantap nih kolab sama Raffi Ahmad. isi kuliah umum di kampus universitas merdeka.,1
PPDB Zonasi is not a breakthrough dan kampus merdeka jg gk sebagus itu coyy,0
cerita dikit. kampus gue tuh gabisa ikut kampus merdeka karena di bawah naungan kemenperin T_____T terus gue denger cerita beberapa temen gue yg ikut magang disana dan mikir kl somehow internship di PT is way better than those companies! :3,1
Not gonna lie i've been lucky enough to experience good things from kampus merdeka. Tp beneran gemes sama perusahaan yg buka loker keterangannya urgently needed for internship. Trs tau2 membebankan kerjaan berat ke anak magang. Jyakhh,0
@gitaputrid Pfftt bagus kalo semua pelaku dan lembaga pendidikan dah siap dari segalanya. Itu kampus merdeka bikin pusing tenaga pendidik. Bobot konversi dll gada batasan jadi mhsswa seenaknya ambil matkul gk sesuai porsinya ngaruh ke standar kompetensi. Zonasi? Teknisnya aja jelek bgt,0
@gitaputrid Program kampus merdeka emang bagus banget,1
@sociotalker Yg bagus menurut gw ya program kampus merdeka itupun ada kontra.,1
@gitaputrid kampus merdeka menurut aku bagus kok walaupun dulu bisanya cuma per fakultas tapi aku jadi punya pengalaman belajar mata kuliah bahasa korea sehari-hari selama 1 semester dan seru banget!!,1
@girikuncoro sedikit banyak kebantu sama kampus merdeka. kuliah kebijakan publik lulus kuliah jadi product manager (tech) hehe,1
program dia bagus yg kampus merdeka ,1
@yourpadawann @elvhantkind @sabolnkonveksi bukan dibayar murah lagi. kalo ikut kampus merdeka perusahaan bahkan ga harus keluar uang karena upah anak magang langsung dari negara. mereka beneran dapet tenaga kerja cuma2,0
Benerr. Kalo dari yg kulihat emang kampus merdeka works well di univ. Buat yg univ programnya emang bagus,1
And kampus merdeka is hurting full time employees more and the way college students think. Bukannya sibuk mikirin akademis dan ilmunya malah pada lomba2 siapa yg bisa internship paling cepet dan ninggalin akademiknya,0
gonna support this argument. aku juga percaya TPKS Zonasi dan Kampus Merdeka adalah program bagus untuk diteruskan. Ini tu pendidikan kita udah mulai berjalan ke arah Equality &amp; Quality Education lho. Pendidikan ga selamanya tentang menang kalah tapi berkeadilan.,1
Aku gatau di jurusan lain gimana tapi dari tahun² awal kemunculannya kampus merdeka tuh sedikit banyak jadi polemik apalagi bagi anak² gerakan atau advo soalnya mahasiswa jadi lari ke situ semua. Kekhawatirannya gini juga sih karena kesannya kek it's all about industry ....,1
Kampus merdeka is shitty ketika tmn lo yg magang ketinggalan materi satu semester tp gamau ngejar trs apesnya sekelompok sama lo di smt berikutnya endingnya plonga plongo trs apply magang merdeka lg dah gausa kuliah magang trs aja sonooooo manusia gila maganggggg,0
Eh iya napa tiba2 jdi pada dukung kampus merdeka dah?? Bukannya ni mahasiswa pada disuruh kerja rodi dan tidak dibayar/bayar minim???,0
Gw akui kampus merdeka amat sangat menyelamatkan gw dimasa krisis. ,1
menurutku okenya di kampus merdeka doang ,1
tapi program kampus merdeka bagi gue bermanfaat banget bisa lebih paham roadmap skill yg dibutuhin diindustri dan bisa fokus mempelajari bidang yg kita inginkan. kalo dari kampus doang asli kureng banget dan belajar nya terlalu general,1
@deforestatie iya tapi menurutku kemdikbudristekdikti juga harusnya punya regulasi yang lebih jelas dan tegas. setauku pemerintah ada bayar sejumlah uang ke perusahaan yang mau dijadiin tempat magang kampus merdeka ya perusahaan pasti mau-mau aja dong?,0
kampus merdeka is fine ,1
@gitaputrid prespektif sebagai alumi kampus merdeka batch 2 &amp; 3 yg menurutku bagus. soalnya bisa ikut bootcamp mehong sama cari magang gampang. tbh gw jauh lebih enjoy mbkm daripada ikut kelas kampus yg materi nya outdated terkhusus IT walau di kampus merdeka masih ada sisi fucked up nya,1
kampus merdeka tuh beneran sebenernya program yang oke banget sih emang despite the whole convo behind it lebih banyakan bagusnya drpd bobroknya,1
Kampus Merdeka oke oke aja asal regulasinya lancar kemarin timeline mundur mundur mulu temenku juga pada ga on time dpt duitnya lol PPDB Zonasi angkatan pertama nih bosss tahun 2018 fcked up hehe belum jelas tapi udah dijalankan banyak menimbulkan kekecewaan.,0
Kampus Merdeka is a life-changer.,1
Kampus merdeka isn't that great either (if I speak gw bakal diserang) it's a good program but iykyk,0
Yeah kampus merdeka ada bagusnya sih. Ngeliat mantanku dulu sebagai anak sastra cina tiba bisa belajar ilmu IT berkat kampus merdeka,1
kampus merdeka juga malah bikin mahasiswa kejajah sm sistem yg dibuat nadiem fuck u nadiem makarim,0
@shav_chi @gitaputrid Kalo kampus merdeka kaya msib/mbkm menurutku malah ngebantu banget kok mungkin dulunya yg susah nyari magang kalopun dapet ya banyakan unpaid dan schedule magang yg gajelas I mean gada kerjaan. Tapi aku kalo liat temenku kebanyakan mereka yg mbkm itu udah kerja,1
@gitaputrid Gue setuju yg kampus merdeka si krn program itu gue bisa cepet lulus krn ada pilihan rekognisi KKN dan matkul ke internship,1
@gitaputrid jujurly kampus merdeka emg bagus sih ngasi banyak kesempatan buat mahasiswa. ,1
belum lagi program kampus merdeka bikin banyak perusahaan ngadalin permen ketenagakerjaan yang jumlah karyawan magangnya ngelebihin 20% credit apanya,0
@gitaputrid Kampus merdeka is ass,0
@gitaputrid Satgas TPKS dan Kampus Merdeka (walaupun masih banyak minus di mitra dan teknis) ini okelah.,1
but whatever thanks for kampus merdeka walaupun masih lumayan banyak koreksi setiap program,1
bahkan buat ikut intern aja sekarang ada aja yg harus punya pengalaman. belum lagi perusahaan yg kerjasama sama kampus merdeka mulai keliatan bobroknya == aji munpung sama peserta jadinya dikasih kerjaan yg seharusnya bukan tupoksi intern,0
kampus merdeka juga jadi salah satu faktor kenapa persyaratan loker ga ngotak,0
@gitaputrid Engga si ka kampus merdeka di convert ke mata kuliah kisaran semester 5 ke atas dimana kebanyakan semester segitu matkulnya wajib di ambil terus banyak jadi buruh tanpa bayaran. ,0
Ini bener banget kampus merdeka program yang cocok banget buat mahasiswa,1
Kampus merdeka; mahasiswa fokus bangun karir instead of menempuh pendidikan dan membangun soft skill lewat organisasi kampus ,1
@gitaputrid Kampus Merdeka doang yang bagus dr program dia.,1
@gitaputrid Program blio yg bagus tuh merdeka belajar kampus merdeka program keren yang harus tetep dilanjutkan.,1
@honeyshyun kebanyakan yg bela beliau tuh krn kampus merdeka doang sih kak,1
@gitaputrid setuju kampus merdeka oke banget,1
@gitaputrid kampus merdeka is fine ,1
klo yang program kampus merdeka oke lah MESKI Gajinya telat cair buat yg Magang lol,1
cumann kampus merdeka yang oke,1
Kampus merdeka anak IISMA isinya ya orkay yang magang malah kayak budak,0
@gitaputrid Kan lu gatau kondisi di lapangan gimana tau enaknya aja...gimana ga transparannya program kampus merdeka Iisma dsb nya...,0
@gitaputrid Kampus merdeka oke sih,1
@gitaputrid Kampus merdeka sih menurut gue bagus.,1
Perspektif saya dari industri yang banyak ngasih posisi magang untuk program kampus merdeka sih output nya bagus untuk anaknya belum pernah dapat feedback negatif Gap skill antara lulusan S1 tech dan yang diperlukan industri IT itu lumayan besar jadi program magang industri,1
Kampus Merdeka? Ah sudahlah. Udh banyak pemberitaan keluhan dan polemik ttg ini. Kita tau MBKM ini lbh banyak ngerusaknya.,0
@oboytweet @sociotalker Kalau di perkuliahan dampaknya banyak positif sih ada program kampus merdeka yg ngasih mahasiswa opsi lebih banyak buat mendalami jurusannya lebih dalam dan sesuai industrinya,1
@IrmadliK Jdi gak monoton belajarnya. Sekarang kuliah pun kurikulumnya rasanya emang bagus apalagi program kampus merdeka. Jdi lebih banyak pilihan buat eksplor sesuai minat,1
Perlu banyak banget yg mesti dibenahi di situ so does kampus merdeka. ,0
untuk anak kuliah? it was okay tbh kampus merdeka lumayan ngebantu untuk orang2 mau magang atau exchange,1
@xzars009 @gitaputrid Sblm ada kampus merdeka sulit bgt dpt magang dgn uang saku manusiawi dan layak....,1
@xzars009 @gitaputrid Agree kampus merdeka adalah salah satu hal yg bikin aku sangat berterima kasih kpd beliau,1
@gitaputrid Kampus Merdeka dan Modul Nusantara itu?! BIG FAILURE!!!,0
Kampus merdeka menurutku justru ngematiin peluang kerja orang orang. Bisa aja terima anak anak kampus merdeka ini jadi gak perlu hire karyawan cukup anak magang sj,0
@hzteahztea @elisa_jkt di perkuliahan ada program merdeka belajar kampus merdeka itu program dari nadim makarim bagus bagus agak kesel kalo banyak yg benci belio grgr nih program gagal padahal nih program briliant bgt imo,1
yg bagus cuma kampus merdeka doang buat mahasiswa jd bisa ngerasain kuliah diluar kampus selama setahun,1
kampus merdeka? AKWWKWKWKK,0
@kambingvlr kampus sama magang merdeka menurutku lumayan ,1
@gitaputrid Sorry to say tapi kampus merdeka itu cuma sekedar oase yang dia buat di tanah tandus. Bayangin aja lu sama negara dibuat susah dalam hal lapangan kerja ya kesempatan sekecil apapun yg mereka kasih bakal terasa berharga. Lagian oase kalo di tanah subur ga bikin dia jadi spesial,0
kampus merdeka sebenernya oke bgt loh,1
Kampus merdeka juga banyak ngehenya. Tetep elek,0
Yg oke cuma kampus merdeka doang,1
kampus merdeka is a thing tp program yg lain perlu dikaji ulang,1
@barrysianturi gini deh emang gw sampel yang sangat kecilll sekali tapi gw sangat merasakan dampak kampus merdeka di perusahaan. Untuk pertama kalinya orang2 yang masuk ke tempat gw ga pake training. lgsg siap pakai. Alasannya: mereka ud magang duluan. Padahal dari PTN nun jauh di sana.,1
@gitaputrid semua tergantung prespektif buat anak kuliahan kebijakan dia untuk anak kuliahan sangat bagus Kampus Merdeka walaupun masih banyak minusnya tapi itu suatu kemewahan bisa dapet pengalaman diluar kampus selama 1 tahun penuh.,1
@sociotalker Lu Yang bilang Nadiem ga guna Berarti lu TOLOL gak pernah baca berita FU! Gua lulusan kampus merdeka BANGKIT by google GOTO dan traveloka 'Machine Learning' dan itu semua program dari Nadiem dan sekarang gua bisa kerja Di perusahaan Gede juga karena programnya! Lu aja yg Haters,1
@gitaputrid Kampus merdeka emang membuka wawasan mahasiswa terhadap potensi2 karir TAPI mahasiswa jadi kehilangan gregetnya untuk peduli pada isu2 besar nasional lebih pilih cari side job atau sibuk intern daripada belajar berorganisasi (yg sebenernya berguna juga ketika nantinya bekerja).,0
@gitaputrid Kampus merdeka oke Sisanya meh,1
Tentu ada manfaat dari Kampus Merdeka tapi saat ini secara kolektif lebih banyak mudaratnya. Faktor utamanya mungkin perubahan drastis yang tidak disertai kesiapan.,0
Nadiem juga tidak pernah (kalau pernah tolong infonya) datang ke kampus pelosok untuk berdiskusi soal kurikulum merdeka.,0
Definisi merdekanya kurang rigid. Ini tentu bagus bagi kampus yang sudah siap tapi persentasenya mungkin 10% dari total kampus yg ada? Pun kampus2 ini mungkin sudah bisa dan biasa menerapkan kurikulum merdeka sebelum ada arahan.,0
Penerapan zonasi dan Kampus Merdeka aslinya kacau di daerah yang jauh dari ibu kota. Pernah ketemu anak magang di kantor KUA yang cuma duduk sebagai resepsionis. Sudah itu saja kerjanya. Ada juga yang jadi kasir di toko. Kasir bukan akuntan.,0
@gitaputrid 2 kata lucu: kampus merdeka,0
@gitaputrid zonasi &amp; kampus merdeka? wkwkwkwkwk,0
Mana kampus merdeka banyak yang gaji kecil bahkan gk digaji. Ini mah akal-akalan aja biar dapat pegawai magang dengan biaya rendah anjingg. Meras tenaga mahasiswa,0
Ada gitu penyepong Nadiem‍ Nih ya  Kampus merdeka? Yakin baik? Ini malah mencetak mahasiswa untuk siap jadi budak korporat,0
Agree with mbak ini. Actually Kampus Merdeka is a thing. Sistem konversi nilai sebetulnya lumayan memudahkan mahasiswa biarpun yaaa agak ribet juga..,1
kampus merdeka juga cuma excuse biar perusahaan dapet free labour LMAO,0
@elisa_jkt waktu zaman nya pak nadiem anak kuliahan terbantu banget dengan adanya program kampus merdeka. dapat uang saku dan pengalaman jujur sangat ngebantu banget,1
Zonasi dan Kampus Merdeka disebut keberhasilan????? Girl???? Bffr,0
@sociotalker Kalau di jenjang universitas banyak positif yang bisa diambil dari programnya dia. Program kampus merdeka banyak positif dan dampak negatif tidak langsungnya.,1
Terus kampus merdeka iya bagus buat nambah pengalaman mahasiswa. Tapi konversinya ke mata kuliah ini amburadul banget mahasiswa magang berpotensi lulus tanpa kompetensi (sesuai jurusannya) yg mumpuni. Kalau mau tetep ada magang ya ngga usah dikonversi ke sks.,0
hmm plus minus sih. but kampus merdeka was something special for me.,1
kampus merdeka breakthrough??? zonasi breakthrough????? u ngajar dimaneee??? paham bener kayaknya urusan sekolahan ama kuliahan,0
Opini tolol apa ini anjing wkwkwkwwkwkww kampus merdeka dibilang breakthrough wkwkwkwkwkw,0
@sweetbrownice Kampus merdeka jg pro-kontra sih terutama iisma sm magang. Kalo iisma masalah anggaran dan efektivitas program magang karena agak bikin mahasiswa fokus ke perbanyak pengalaman kerja sejak kuliah ketimbang fokus kuliah + bikin individualis kurang kritis sm keadaan terkini. Cmiiw,0
tapi sisanya gak dulu apalagi kampus merdeka. berasa bgt dosen-dosenku kebingungannya trus berimbas ke mahasiswanya deh,0
3. kampus merdeka (terutama PMM karna gw ikutin). kesempatan paling membahagiakan di hidup gw itu bisa lolos PMM btw gw org kurang berada kampung gw di Sumut dari lahir ga pernah ke kampung karna emg ga ada duit kesana. and PMM bikin gw bisa ke Sumut~,1
Kampus merdeka (kalo tidak include mbkm) dari sisi pendidikan mungkin masih oke.,1
Mahasiswa sedikit yang demo karena mereka ngerasain duit dari kampus merdeka makanya diem diem aja ,0
@gitaputrid Kampus merdeka ok. ,1
@afrodindaintan @sociotalker kalo kampus merdeka gak seburuk itu sih..,1
Fokus kita tetap di Kurikulum Merdeka dan Merdeka Belajar. Ini kurikulum ketinggian buat Indonesia. Even untuk beberapa kampus/PT,0
@elisa_jkt Hmm padahal pak Nadiem itu bagus karena ngadain kampus merdeka salah satunya mbkm karena ngebantu mahasiswa banget buat dapet gaji pas magang + pengalaman kerja.,1
@blacvorest @sociotalker pernah baca ada yg suudzon katanya kampus merdeka biar mahasiswa pada cape sama kuliahnya biar gak usah demo ngurusin pemerintah,0
eh tapi kalau untuk program kampus merdeka berhasil loh,1
Kok pada gasuka sama kepemimpinannya pak nadiem sih? Menurutku program kampus merdeka itu bagus banget lohhh apalagi MSIB IISMA dll,1
@elisa_jkt  Lulus program kampus merdeka wisuda gatau apa apa. Program lintas jurusan yang bikin pendidikan tinggi pun bingung masukin kemana nilainya. UKT mahal. Pensiun balik ke gojek aja pak biar aplikasinya makin baik,0
@oldtrevoria @sociotalker kalau kakanya tanya dan dekat sama akademisi dari awal mereka pada ga setuju sama kurikulum merdeka. Bahkan dari awal para akademisi kampus termasuk guru besar dan dosen ga setuju dipilihnya Nadiem jadi mendikbud,0
imo gw bukan penyembah nadiem makarim but thanks to nadiem gue bisa first magang dengan gaji WOW karena kampus merdeka dari cv tersebut membuka gue ke tempat kerja gue hari ini. + sks nya dikonversi jd gue fokus magang dan nilai kuliah juga gemilang.,1
Tapi pas program kampus merdeka itu jujur oke banget. Meski gak sempat ikut karena udah tinggal sidang tapi temen-temen dan adek ku bgasi respon positif soal program itu. Menurutku juga programnya bagus (yang kampus merdeka yhh),1
Ada lagi dosen w bilang pengen program kampus merdeka dihilangin aja grgr mengacaukan kurikulum kampus wkwkw,0
@sociotalker Cuma kampus merdeka aj yg masuk akal. ,1
@sillining @sociotalker fak kampus merdeka,0
@sociotalker utk perguruan tinggi dg ada kampus merdeka baguss,1
tbh program kampus merdeka kayak magang yang bisa sampai 6 bulan dan pertukaran pelajar itu bagus banget karena mahasiswa jadi punya banyak kesempatan. ,1
Tapi hal yg paling gw sayangkan dari programnya adalah gerakan mahasiswa jadi mati,0
@sociotalker hmmm but thanks a lot buat kampus merdeka nya,1
tapi aku suka kampus merdeka yang di usung oleh beliau,1
@sociotalker Tapi Kampus Merdeka bagus loh,1
@sociotalker program kampus merdeka gua akuin bagus banget sih bener2 ngasih kesempatan ke mahasiswa secara luas buat student exchange magang wirausaha ,1
Kl nyari yg sempurna ya pasti ga ada. Tp lihat positif &amp; perbandingan dari sblmnya. Bagi sy yg mahasiswa sewaktu itu program baru Kampus Merdeka ini benar2 membantu. Sy rasa bbrp teman yg penerima programnya jg merasakan hal demikian. Pendidikan ga bs dilihat dari satu sisi.,1
Menurutku yg oke dr kampus merdeka cuma MSIB yg bisa ngeregulasi industri biar gak menjebak pemagang thd cheap/free labour yg sebelumnya ga bs dilakukan oleh universitas.,1
Sebenernya kampus merdeka nya mas Nadiem itu bagus untuk pendidikan tinggi..,1
Semoga dgn menteri yg baru program Kampus Merdeka dihapuskan... Amiinn... https://t.co/SWUxv71ir5,0
Buat menteri pendidikan kedepannya plis lanjutin kurikulum merdeka belajarnya buat kampus dan mahasiswa. Apalagi program MBKM berdampak positif banget bagi mahasiswa di seluruh pelosok negeri,1
Sing ngomong anake wong sugih Mostly produk kuliah 4 tahun memang kurang memegang skill. Lebih banyak ke teori dan perencanaan. Salah satu program Kampus Merdeka yang oke adalah Kedaireka di mana kampus dekat dengan industri dan bisa melibatkan mahasiswa ke proyek riil,1
@mfs_ub This shit only happened when lulusan kurikulum merdeka mulai masuk kampus,0
@prabowo Pak Saya cuman mau blng jangan di berhentikan program kampus mengajar pertukaran mahasiswa merdeka wirausaha merdeka pak Beta sebagai anak maluku program ini sngat bagus pak kami bisa lihat gimna pendidikan di barat(Jawa) beda jauh dan kami bisa belajar bnyak apa yg,1
@putranotputri @SamFerkyFers10 @NarasiNewsroom Bener Nder kampus merdeka itu bagus sih,1
